id,job_name,address,salary_range,company_name,industry,company_size,company_type,job_code,job_detail,update_date,company_detail,job_url
4001,C/C++,西安-雁塔区,1.5-3万·16薪,陕西慧云联达企业管理咨询有限公司,人力资源服务,20-99人,不需要融资,CCL1445845820J40754802105,职位描述： 1.负责公司核心产品的C/C++开发工作，主导系统的架构设计和技术选型； 2.深入研究和解决项目中的技术难题，提升系统的性能和稳定性； 3.参与制定编码规范，推动代码质量和开发效率的提升； 4.指导初级开发人员，提升团队整体技术水平； 5.跟踪C/C++领域的前沿技术，为团队提供技术支持和创新思路。 职位要求： 1.统招本科及以上学历； 2.精通C/C++编程，对底层原理和系统性能优化有深入理解； 3.具备丰富的系统设计和架构经验，能够独立完成复杂系统的开发工作； 4.熟悉多线程、网络通信、内存管理等关键技术； 5.具备出色的分析问题和解决问题的能力，良好的团队合作精神和领导力。,4月29日,陕西慧云联达企业管理咨询有限公司成立于2022年9月，是一家集高端猎头服务与专业代理记账报税业务于一体的综合性企业服务提供商。自成立以来，我们秉承“智聚英才，财通未来”的企业理念，致力于为国内外企业客户提供精准高效的人力资源解决方案及一站式财务管理服务，助力企业稳健成长，共创辉煌。,"https://www.zhaopin.com/jobdetail/CCL1445845820J40754802105.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4002,科研人员,徐州-泉山区,1.2-1.8万,江苏武雄展教育咨询有限公司,培训/辅导服务,300-499人,不需要融资,CCL1491247220J40821199515,1）工作内容： 负责讲授先进医疗技术相关课程，如精准医疗、远程医疗、医疗机器人等 同时开展人工智能在医疗领域应用课程，像医疗影像识别、疾病预测模型等； 精心备课，采用多样化教学方法，做好作业批改与学生答疑。 2）课程建设与教研： 结合医学与人工智能前沿进展，开发创新课程内容，更新教学案例，如引入最新的智能诊断算法、智能手术机器人应用实例 设计并优化实践教学环节，提升学生动手能力与解决实际问题的能力。 在先进医疗与人工智能交叉领域开展科研工作，申请科研项目，探索智能医疗新方法、新技术；发表高质量学术论文，参与国内外学术会议，提升学术地位与影响力 3）学生指导： 引导学生参与科研项目、学术竞赛以及毕业设计，培养学生创新思维与实践能力 指导学生将人工智能技术应用于医疗场景，解决实际医疗问题。 定期对学生进行理论与实践考核，通过考试、项目评估、实验报告等方式全面评价学生学习效果；根据评估结果，持续改进教学方法与内容。 4）任职要求 医学信息学、生物医学工程、计算机科学与技术（医疗人工智能方向）等相关专业博士学位，条件优秀的硕士可考虑。 掌握医学基础知识，熟悉临床医疗流程；精通人工智能技术，如机器学习、深度学习算法；熟练使用Python、R等编程语言以及TensorFlow、PyTorch等深度学习框架；具备医疗数据分析、处理与建模能力。 具备出色的教学表达与沟通能力，能将复杂的医学与人工智能知识深入浅出地传授给学生；有教学经验者优先，能够运用现代教育技术开展互动式教学。 以第一作者或通讯作者身份在先进医疗与人工智能领域发表过学术论文；主持或参与过相关科研项目，具有较强的科研创新能力。 有团队合作精神，能积极参与教学与科研团队建设；热爱教育事业，责任心强，具有良好的职业道德与敬业精神。 作息时间： 周内双休，每周工作时间不超过38小时；单日工作时间不超过8小时； 薪酬福利 1、缴纳五险一金（养老保险，医疗保险，失业保险，工伤保险，生育保险，公积金）； 2、员工享有婚假，丧假，产假等带薪假期、节日福利，团建聚餐等； 3、完善的教学技能、职业素养培训及晋升空间等 职位福利：五险一金、全勤奖、餐补、定期体检、定期团建、节日福利,7月27日,公司简介：徐州雄展教育集团经教育局批准成立。在校生10000余人次，是徐州地区知名度最高的高中、初中、小学培训机构之一。雄展教育目前有10所校区，拥有近300多名专于教学、精于教研的全职教师团队，教材立足于自主研发、体系立足于教学大纲、教学立足于分层分级，多年来取得了优异的培训效果，受到学生和家长的一致好评。连续多年荣获徐州市315民办教育红榜诚信办学单位。超越期待，是雄展教育给学员和家长的庄严承诺！,"https://www.zhaopin.com/jobdetail/CCL1491247220J40821199515.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4003,C/C++,赣州-信丰县,8000-13000元,绿萌科技股份有限公司,"电气机械/电力设备,农/林/牧/渔",1000-9999人,A轮,CC671692220J40604066112,职责描述： 1、参与软件系统的需求调研和需求分析，设计、开发等过程； 2、负责UI界面设计、交互方式的开发；根据需求完成跨平台的开发或移植； 3、解决研发过程中的关键问题和技术难题，维护开发文档； 4、完成领导安排的其它工作； 任职要求： 1.本科及以上学历，计算机软件相关专业专业； 2.熟练使用.NET、C#、WPF等技术开发软件；对面向对象、设计模式及、NET平台有深入的理解;熟悉QT开发优先； 3.具有良好的需求分析能力和编码风格，能承担较大工作压力。 4.具备良好的沟通、协作能力，工作态度认真负责，有进取心，有强烈的责任感和良好的团队合作精神,7月25日,绿萌创立于2001年，是中国领先的果蔬采后处理装备整体解决方案，国家高新技术企业、国家重点“小巨人”企业。公司联合中科院微电子所、华中农业大学等，应用机器视觉、高光谱、人工智能、大数据、绿色保鲜等先进技术，研制的果蔬采后智能装备核心技术达国际领先水平，被邓院士评价为我国农机领域唯一能够参与国际竞争并取得领先优势、实现规模化出口的成果。,"https://www.zhaopin.com/jobdetail/CC671692220J40604066112.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4004,科研人员,无锡-滨湖区,2-4万,无锡益企科技企业服务有限公司,人工智能,100-299人,,CCL1284178800J40680493602,1.在海外高水平大学即将获得博士学位，或有海外博士后经历的优秀博士生，新一代信息技术、生物医药、新材料、新能源、集成电路、人工智能、高端装备制造等专业，科研成果突出。 2.品学兼优、身心健康，年龄一般不超过 35 岁。 3.具有较强的团队合作精神，进站研究计划需与合作导师的科研课题或者研究专长相关；具有较高科研热情、较强英文读写与交流的能力。 4.有海外学历背景优先。,4月7日,,"https://www.zhaopin.com/jobdetail/CCL1284178800J40680493602.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4005,C/C++,北京-海淀区,1.3-2.6万,外企德科数字技术有限公司,专业技术服务,10000人以上,,CCL1480117890J40733751005,岗位要求: 1、统招本科及以上学历，双证齐全(学信网可查） 2、掌据C/C++/Java/python/Go/JS一种或多种编程语言，热爱编程 3、掌握常用的数据结构、数据算法。 岗位优势： ①大厂市场领先且稳定的薪酬福利收入(根据面试能力评价等定级定薪) ②个人编程能力的快速学习提升(导师6个月带教) ③行业前沿的技术框架(不用担心未来如果换工作技术框架不适用) ④行业领先的产品研发项目管理流程、编码规范培训、纯粹的工程师氛围(您要相信，和优秀的人一起工作，您也必定变得更优秀) 公司福利: 1.入职即缴纳五险一金+商业险，全额缴纳社保及公积金 2.一年数次考评，薪资、职级可上浮 3.带薪年假5-15天 4.免费夜宵，城际班车，舒适的办公环境 5.免费健身房，各种娱乐活动(可自行选择是否参加，不参加就早点下班哦）,2025-07-27 00:23:29,外企德科数字技术有限公司是一家2023年新成立的中外合资企业。成立于2023年11月24日，公司定位：专注于为信息技术企业提供人才及数字技术外包解决方案的中外合资企业。它是由中国人力资源服务行业的FESCO（北京国际人力资本集团）与全球人力资源服务领导者The Adecco Group（德科集团）合资成立的。公司主要提供网络技术服务、软件外包服务、计算机系统服务、技术进出口、软件开发等信息技术相关服务。专注于为信息技术企业提供信息技术类人才及数字技术外包解决方案。,"https://www.zhaopin.com/jobdetail/CCL1480117890J40733751005.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4006,Java,北京-朝阳区,150-200元/天,中惠元景,"新能源,环保,新能源,电力/水利/热力/燃气",20-99人,已上市,CC452179420J40815672903,​实习岗位！,7月21日,中惠元景能源科技（北京）股份有限公司是一家国内“新三板”上市公司。作为建筑节能行业的领军企业，公司获得的资质包括：国家和中关村双高新企业、北京市专精特新企业、中关村瞪羚企业、双软企业、国家及工信部重点推广技术单位、建筑领域AAAA级单位、国家发改委备案企业、ISO质量管理三体系认证、节能服务5A级企业、中国节能协会节能服务产业委员会优秀会员单位等。拥有多项发明及软著知识产权。公司多年来一直专注于建筑行业的节能减碳，绿色能源的供应，拥有数十项自主的节能降效相关知识产权，并与住建部、中国建筑标准化研究院中国质量中心共同参与了制定建筑节能量认定和节能减排量认定等多项行业标准。已为众多世界500强企业提供了节能服务，具有资深的行业背景。公司定位：提供建筑物综合能源解决方案和绿色运营的技术型专业能效公司。公司的技术路线公司通过综合能效技术（产品+工程+结构）的提升来降低能源消耗，具体从以下几个方面考虑：@智能管理：通过智能优化管理，提高设备的运行效率，降低低能源消耗；@余热利用：综合回收利用余热，如中央空调余热回收，锅炉的烟气的回收，污水的余热回收等，提高能源利用效率；@新能源应用：如太阳能光伏、光热应用、空气源热泵、水源热泵，地源热泵。@峰谷平电价的综合利用，比如消防水池，储能等应用。@优惠售电：采用多种方式通过向电力市场购电，并将所购电量优惠向用户供应，电费规模在500万度以上商业模式 1：对于既有建筑采用能源托管服务（T-O）：根据项目方前三年能耗的平均数作为托管基数，公司通过对项目能耗设备系统优化、设备的投入和智慧能源管理平台的建设，在不改变原有设备的前提下，降低项目方的用能成本并提高管理水平，以节能降费获取项目投资的回收和双方的收益，年限为15年。 2：对于新建筑采用投资建设运营模式（B-O-T）：通过对项目方进行投资建设能源站并进行高效运行为用户供冷、供暖、供热水等，按照相关规定收取费用以收回投资并取得利润，年限为30年。目前主要针对医院、高校、公共机构等建筑物的中央空调、供热锅炉的节能增效服务。公司有自己的核心技术产品：能源管理服务云平台，一站式后智慧勤管理运维系统，能效管理机器人，智慧恒温控制装置等软硬件能效设备。在国家双碳建设风口来临之际，诚邀有识之士共享企业发展红利！,"https://www.zhaopin.com/jobdetail/CC452179420J40815672903.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4007,测试工程师,苏州-虎丘区,1.2-1.8万·14薪,英威腾,"工业自动化,工业自动化",1000-9999人,已上市,CC134263690J40773496507,岗位职责:,7月14日,​关于英威腾深圳市英威腾电气股份有限公司（以下简称英威腾），国家火炬计划重点高新技术企业，专注于工业自动化和能源电力领域，拥有完整的研发、销售、供应链和服务平台，是行业的主流供应商之一。英威腾成立于2002年，2010年在深交所A股上市，股票代码：002334。英威腾拥有15家控股子公司，4个大型生产工厂，员工人数超4000人，深圳福永工业园及苏州科技产业园产能达300万台/年。英威腾拥有11个研发中心，1300多件授权专利证书，200多件软件著作权证书，实验室拥有国内工控行业TÜV SÜD颁发的ACT资质，并通过UL目击实验室及CNAS国家实验室认证。英威腾海内外设有40余家分支机构、600多个渠道合作伙伴，营销和服务网络遍布全球100多个国家和地区。英威腾业务覆盖工业自动化、新能源汽车、网络能源等主要领域。工业自动化：产品主要包括变频器、伺服系统、电机、控制器、人机界面、传感器、电梯驱动系统、工业互联网等。网络能源：产品主要包括 UPS、精密空调、供配电、动环监控、机柜、冷热通道等，产品广泛应用于云数据中心、能源电力、制造业、交通、市政、医疗卫生、影视传媒、体育赛事等。光伏储能：产品主要包括并网逆变器、离网逆变器、储能逆变器等，广泛应用于国内和海外的商用和户用市场。新能源汽车：产品主要包括各类电机控制器、车载电源、充电桩及各类集成控制器，产品成熟应用于新能源客车、物流车、环卫车、乘用车等各类车型。​福利待遇广阔的发展空间——上市公司完善的治理制度保障职业的规范发展、提供双通道的发展路径，并配有专业的职业规划导师，为职业的发展保驾护航。优厚的福利待遇——年终奖、合理化建议奖、“五险一金”、带薪年假、节日礼品、婚育关爱、病伤关爱、生日关爱，各种奖金关爱根本停不下来，拿到手软。完善的培养机制——一对一的导师带你飞，帮你从校园向社会的过渡，内部专题培训、户外素质拓展、外派考察学习、英威腾学院、企业大学，绝对会觉得是在带薪学习。多彩的才艺平台——会定期&不定期举办篮球、羽毛球、乒乓球PK赛，吸引一大堆迷妹的绝佳机会，部门会举办各种团建活动。……………………………公司网址：www.invt.com.cn公司地址：深圳市光明区马田街道薯田埔社区科杰四路英威腾光明科技大厦E-MAIL：hr@invt.com.cn,"https://www.zhaopin.com/jobdetail/CC134263690J40773496507.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4008,测试工程师,合肥-庐阳区,1-1.2万·13薪,青岛瑞晟元人力资源有限公司,人力资源服务,20人以下,不需要融资,CCL1431271280J40778348407,岗位职责： 1. 负责软件的功能测试。 2. 执行测试用例，报告缺陷并跟踪缺陷的修复。 3. 与开发团队协作，确保软件质量满足需求。 4. 参与软件测试流程的优化和改进。 岗位要求： 1. 熟悉软件测试理论、方法和流程。 2. 具备功能测试经验。 3. 了解运维工程师、网络工程师的工作内容，能进行基本的IT质量管理。 4. 有信息技术、标准化、电子或电路工程相关背景者优先。 薪资待遇：包住、六险一金、工龄工资、生日礼金、定期体检、带薪年假、绩效奖、项目奖、年终奖.,2025年07月30日,,"https://www.zhaopin.com/jobdetail/CCL1431271280J40778348407.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4009,科研人员,南京-栖霞区,1.5-2.3万,国信蓝桥数字科技(天津)有限公司,学校/学历教育,100-299人,,CCL1504714850J40768960010,学历：硕士及以上  专业：航空航天、物理、化学化工、计算机、数学、环境、地球科学与工程学、人工智能等相关专业,7月25日,,"https://www.zhaopin.com/jobdetail/CCL1504714850J40768960010.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
4010,C/C++,北京-海淀区,6000-8000元,北京佳思乐创科技有限公司,电力/水利/热力/燃气,20-99人,未融资,CCL1281739110J40709594911,岗位职责： 1、负责与公司产品配套软件的设计与开发工作； 2、进行软件需求分析，搭建软件框架，用户界面及通讯接口设计； 3、负责软件相关技术文件编写； 4、负责解决软件开发过程中的技术问题； 任职资格： 1、对物联网等通信网络技术熟悉，有物联网平台开发经验者优先；对物联网接口通讯协议熟悉者优先； 2、计算机、软件工程、电子信息等相关专业 3、熟练掌握C++编程语言，熟悉VS或QT、SDK开发环境，熟悉STL/MFC/QT等； 4、熟悉Windows下多线开发，熟悉进程间通讯及同步机制，熟悉TCP/IP通讯，socket编程等； 5、熟悉SQL语法和数据库编程，掌握至少一种数据库的开发； 6、具有良好的设计习惯和代码架构规范； 7、工作主动性强，具有良好的沟通、协作和执行能力，有团队精神；,6月20日,北京佳思乐创科技有限公司成立于2014年，注册资本金5000万元，生产地位于北京民营企业。公司成立后逐步取得了质量管理体系、职业健康安全管理体系、环境管理体系的认证，以及信息安全领域的多项软件著作权。主营业务为提供电网类设备整体解决方案，包括但不限于网络安全装置、电网配电柜、打印机、服务器等，涵盖打印机、服务器、台式机、笔记本的研发设计以及生产，如思质（SIZHI）品牌一系列的办公设备。公司是国内信创产品的先进设计单位，是国内自主可控 PC、打印机、服务器领域领先的解决方案提供商，是办公整机的产业链，为客户提供涵盖安全的软件开发、安全可控的解决方案、维护服务以及安全系统集成在内的一整套信息化服务，用户涉及政府、军队军工、金融、能源等重要行业数千家单位，成功部署数万终端。目前公司产品体系已经完成“信息安全、自主可控”格局的打造。,"https://www.zhaopin.com/jobdetail/CCL1281739110J40709594911.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
