id,job_name,address,salary_range,company_name,industry,company_size,company_type,job_code,job_detail,update_date,company_detail,job_url
6125,储备经理人,深圳-龙岗区,1-1.1万,深圳市乐有家控股集团有限公司,"房地产中介,房地产中介,咨询服务",10000人以上,未融资,CC381381910J40573346205,,4月1日,乐有家控股集团为“以房地产经纪为龙头、金融和互联网为两翼”的大型企业集团，成立于2008年，总部位于深圳市，以“立足大深圳、密布珠三角、服务全中国”为发展战略，在深圳二手房市场占有率稳居行业第一，粤港澳大湾区多个城市市占率稳居行业前列。集团旗下拥有“乐有家”、“顺联担保”、“万顺通资产”、“家家顺物联科技”等优秀品牌，业务涵盖二手房买卖、房屋租赁、项目策划、新房代理、人工智能、资产管理、金融服务等领域，获得“中国十大品牌中介机构”、“全国优秀房地产经纪机构”、“年度最佳雇主”、“最值得信任的地产经纪品牌”、“广东省诚信企业”、“最具影响力雇主”等殊荣。集团始终坚持“真诚正义，先人后己”的核心价值观，积极推行“真服务、真保障”服务战略，为客户提供及时精准、专业可信、高效超值的房产交易全价值链服务。通过运用互联网、人工智能等新技术，打造线上线下一体化的E2E智能生态系统，致力于为客户打造房产交易全过程、全网络、全家庭生命周期的极致服务体验。集团以“立足大深圳、密布珠三角、连锁全中国”为发展战略，有效整合全国各项资源，实现“有家的地方就有乐有家”的宏伟愿景！,"https://www.zhaopin.com/jobdetail/CC381381910J40573346205.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6126,内容审核,石家庄-新华区,4000-5000元,博岳通信,"运营商/增值服务,IT服务,通信/网络设备",10000人以上,,CC351377410J40749606701,无销售-无任务-不加班  银行纯资料-核实专员 （偏文职） 休息：月休7-8天 偶尔六日休 薪资保底：3700  薪酬：4000-5500  中信纯资料身份核实专员 工作时间： 白班为主9-6  工作内容：用户等待我们审核，接通率配合度非常高，语音转接后询问2个用户身份信息即可； 列如审核确认一下用户身份证信息是否为本人（无销售性质）用户配合度100%,7月1日,"河北博岳通信技术股份有限公司是一家大型的电子商务、呼叫中心运营及信息服务供应商，主要从事大数据建模/分析/应用、呼叫中心运营、运营商业务渠道、云服务、网络与信息服务业务。专注于为运营商、电子商务、金融、互联网企业和中小企业提供端到端的运营及服务解决方案。公司现有员工15000名，拥有运营坐席超过16000个，目前在北京、河北、四川、湖南、江西、辽宁、福建、宁夏、贵州、浙江、陕西等多个省市设有分公司和办事处。在大数据应用和呼叫中心运营领域，博岳股份与全国十几个省市通信运营商客户进行了全面合作,包括北京移动、中国移动咪咕公司音乐基地、咪咕动漫、四川移动、河北移动、河北铁通、宁夏移动、卓望信息、辽宁移动、江西移动、陕西移动、湖南电信、贵州联通、虚商迪信通；博岳股份与十几家互联网企业在运营和服务领域进行全方位的合作，包括小米科技、去哪网、多点生活、牛电科技、海选网运营支撑服务；博岳与互联网金融九鼎投资-借贷宝进行了全方位的战略合作，包括人人行客服、人人行催收、人人推和研发合作。博岳股份全面服务于通信运营商、金融、电商及互联网企业，服务用户超过5亿。在云服务领域，基于互联网模式建立了端到端的云客服平台，向互联网企业和各中小企业提供系统平台、数据库、数据建模及分析、物理场所、台席、人员及培训等端到端解决方案；为互联网企业和各中小企业提供快速、便捷、性价比高的优质服务。同时公司根据客户的需求，为客户设计完整的呼叫中心解决方案，并负责呼叫中心的建设、运营与维护，承接客户的对外联络、咨询、投诉、问卷调查、营销、客服等各项工作。作为河北省高科技企业，博岳股份于2016年3月份成功挂牌新三板。公司具备工信部颁发的“中华人民共和国增值电信业务经营许可证（全国呼叫中心业务许可证、河北省因特网信息服务业务许可证）”、“通信信息网络系统集成乙级”及“道路运输经营许可证”等资质，并且通过了ISO9001质量管理体系和ISO14001环境管理体系等权威认证。博岳股份立志发展成为业界一流的信息服务和网络服务提供商，博岳股份全面向世界优秀企业学习。博岳股份吸纳业界优秀人才，聚焦客户、聚焦业务，实现平台化和规模化的管理和运作，公司将秉承“以客户为中心、以贡献者为本、持续艰苦奋斗”的企业核心价值理念，我们相信通过全体员工的不懈努力和追求，一定能够为客户提供最好的解决方案和最优质的服务，并为客户实现商业成功!","https://www.zhaopin.com/jobdetail/CC351377410J40749606701.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6127,大客户代表,大连-中山区,1-1.4万,中国平安人寿保险股份有限公司大连分公司2,保险,10000人以上,已上市,CCL1487620750J40853539104,世界500强中国平安直招 岗位职责： 1 根据公司提供的老客户进行维护和开发  2 约老客户进行沙龙 酒会等活动   薪资待遇   固薪3100-4300+佣金提成（25%——35%）,5月6日,中国平安保险（集团）股份有限公司于1988年诞生于深圳蛇口，是中国内地第一家股份制保险公司。平安集团旗下包括多家子公司，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,"https://www.zhaopin.com/jobdetail/CCL1487620750J40853539104.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6128,APP推广,南昌-东湖区,5000-9000元,成都歪马科技有限公司,电子商务,1000-9999人,未融资,CCL1492920960J40827738108,全城就近安排，全职/兼职均可， 下班没事儿干就来歪马 【薪资构成】:底薪+全勤奖+高额提成+补贴等多劳多得，全职综合薪资8000+，兼职综合4000+ 【工作内容】 1、在APP上接收所属门店派发的酒水订单，接单后按照订单信息取酒，按时送到客户手上: 2、系统自动派单，只负责同一家门店的取送，配送范围固定，门店周边三公里:【岗位优势】公司直招，无需办理健康证，无需缴纳任何费用，最快当日面试即可入职，,2025年07月30日,歪马送酒是美团旗下的酒水即时零售品牌，经营品类涵盖啤酒、白酒、红酒、洋酒四大品类。通过与酒水品牌直接合作，严控供应链，自建配送体系，给前置仓配货，商家在小程序和外卖平台为用户提供平价、保真、平均15分钟送达的酒水及时送服务。歪马送酒在2021年6月23日广东惠州开展单城探索，启动1个城市中心仓+N个前置仓，40天开仓8家，覆盖惠州主要城区。截止2024年7月，歪马送酒在广东地区（深圳、广州、东莞、佛山、惠州、汕头、江门、中山、河源），江苏地区（南京、苏州）、浙江地区（杭州、宁波、温州）北京、上海、杭州、成都、西安、重庆、武汉、福州等22个城市建有直营门店，门店数量超过家。2025年还会入驻青岛、南宁、郑州、合肥、贵阳等城市，预计实现全国省会城市、一线城市全覆盖，门店数量超1000+。,"https://www.zhaopin.com/jobdetail/CCL1492920960J40827738108.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6129,游戏运营,株洲-None,6000-8000元,郴州萧瑶科技有限公司,游戏,20-99人,未融资,CCL1495700460J40897055904,我们是一家专注于游戏推广服务和账号管理的专业团队，致力于为玩家提供高效、安全的游戏服务体验。目前，我们服务于多款热门端游和手游，包括但不限于《英雄联盟》、 《魔兽世界》、《命运方舟》、《王权与自由》、《逆水寒》、《永劫无间》、《绝区零》、《王者荣耀》、《刺激战场》（和平精英）、《鸣潮》、《原神》等。 岗位职责：负责客户游戏账号的日常工作，确保游戏进度和技能水平达到要求 薪资待遇：操作人员可获得所承接服务单子价格的80%作为收入（按单结算），工作时间自由安排，收入灵活，多劳多得，收入无上限，自由选择任务，可提供实习证明。 任职要求：按照公司需求时间内完成所需要游戏内容 单子内容如日常，升级，升星 具备出色的游戏操作技巧和对游戏机制的理解 能够独立完成游戏任务，具有较强的学习能力和适应能力,7月8日,游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结游戏操作员升级一单一结游戏操作游戏操作员升级一单一结升级一单一结,"https://www.zhaopin.com/jobdetail/CCL1495700460J40897055904.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6130,管培生/储备干部,石家庄-新华区,5000-10000元,博岳通信,"运营商/增值服务,IT服务,通信/网络设备",10000人以上,,CC351377410J40555257501,1. 有较好的沟通表达能力、组织协调力和发展潜力，在校时担任学生干部者优先。 2. 学习能力强，良好的解决问题能力。 3. 性格开朗，具有推进落实工作的能力。 4. 认同公司的人才观、价值观等企业文化理念，具有良好职业道德。 5. 愿意并能够接受在基层学习、工作、训练的考验 6. 能接受一定出差外派学习。 7. 具有大学本科学历。 【职位特点】 一、 成长快 1、根据公司整体安排，熟悉公司业务，之后进入职能部门进行试岗。 2、在学习到基础知识之后，可以根据个人意向选定一个发展方向，无需轮岗。 二、晋升快 公司每个季度组织内部竞聘，所有中、高层领导干部均由基层培养。 三、强大的培训体系： 入职之初公司为您配备业务导师，导师对新人进行全程指导； 【培养方向】 市场：市场拓展与维护、招标投标等市场活动 运营：公司运营团队的人员管理与指标监控等 人力：招聘、培训、薪酬绩效、员工关系、组织发展等 行政：固定资产管理、会议安排、大型活动组织、宿舍管理、企业文化等 【薪资待遇】 1、薪资：保底3500综合4000-6000，各种节假日福利 2、统招本科，年龄21-25周，接受实习，可提供宿舍和食堂 3、员工生日会、定期旅游、团队融洽 4、公司内部免费培训课程学习,6月20日,"河北博岳通信技术股份有限公司是一家大型的电子商务、呼叫中心运营及信息服务供应商，主要从事大数据建模/分析/应用、呼叫中心运营、运营商业务渠道、云服务、网络与信息服务业务。专注于为运营商、电子商务、金融、互联网企业和中小企业提供端到端的运营及服务解决方案。公司现有员工15000名，拥有运营坐席超过16000个，目前在北京、河北、四川、湖南、江西、辽宁、福建、宁夏、贵州、浙江、陕西等多个省市设有分公司和办事处。在大数据应用和呼叫中心运营领域，博岳股份与全国十几个省市通信运营商客户进行了全面合作,包括北京移动、中国移动咪咕公司音乐基地、咪咕动漫、四川移动、河北移动、河北铁通、宁夏移动、卓望信息、辽宁移动、江西移动、陕西移动、湖南电信、贵州联通、虚商迪信通；博岳股份与十几家互联网企业在运营和服务领域进行全方位的合作，包括小米科技、去哪网、多点生活、牛电科技、海选网运营支撑服务；博岳与互联网金融九鼎投资-借贷宝进行了全方位的战略合作，包括人人行客服、人人行催收、人人推和研发合作。博岳股份全面服务于通信运营商、金融、电商及互联网企业，服务用户超过5亿。在云服务领域，基于互联网模式建立了端到端的云客服平台，向互联网企业和各中小企业提供系统平台、数据库、数据建模及分析、物理场所、台席、人员及培训等端到端解决方案；为互联网企业和各中小企业提供快速、便捷、性价比高的优质服务。同时公司根据客户的需求，为客户设计完整的呼叫中心解决方案，并负责呼叫中心的建设、运营与维护，承接客户的对外联络、咨询、投诉、问卷调查、营销、客服等各项工作。作为河北省高科技企业，博岳股份于2016年3月份成功挂牌新三板。公司具备工信部颁发的“中华人民共和国增值电信业务经营许可证（全国呼叫中心业务许可证、河北省因特网信息服务业务许可证）”、“通信信息网络系统集成乙级”及“道路运输经营许可证”等资质，并且通过了ISO9001质量管理体系和ISO14001环境管理体系等权威认证。博岳股份立志发展成为业界一流的信息服务和网络服务提供商，博岳股份全面向世界优秀企业学习。博岳股份吸纳业界优秀人才，聚焦客户、聚焦业务，实现平台化和规模化的管理和运作，公司将秉承“以客户为中心、以贡献者为本、持续艰苦奋斗”的企业核心价值理念，我们相信通过全体员工的不懈努力和追求，一定能够为客户提供最好的解决方案和最优质的服务，并为客户实现商业成功!","https://www.zhaopin.com/jobdetail/CC351377410J40555257501.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6131,风电工程师,呼伦贝尔-海拉尔区,8000-12000元·13薪,研能(天津)电力技术有限公司,人力资源服务,100-299人,,CCL1483187040J40794150103,公司在招聘过程中不收取报名费、中介费、手续费、资料费等任何费用。请放心投递！ 一、岗位名称：风电运维工程师 二、岗位职责：按照风机机组及配套设备的维护技术要求，对其定期巡检、维护、定期检修、故障消除、技术改造等，保障风电机组的安全、稳定运行。 三、岗位要求：18-35周岁，大专及以上学历，无恐高、无心脏病、无幽闭恐惧症、色盲等；上岗须持有安监局发放的高低压电工证、登高作业证、(无证人员公司免费辅助考证)； 四、薪资待遇: 1、试用期每月5000-6500元，工资每三个月到半年调薪500-1500元，工作满一年后工资8000-12000元。享受13薪。 2、转正后签订正式劳动合同，缴纳六险一金，常白班，8小时工作制。 每工作2-3个月带薪休假10-15天，回家往返路费公司报销，1000公里以下，高铁二等座，1000公里报销飞机票二等座。 五、无证人员统一地点实习，实习结束户籍就近分配,7月27日,,"https://www.zhaopin.com/jobdetail/CCL1483187040J40794150103.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6132,储备干部,潍坊-诸城市,4000-6000元,山东佳和利食品有限公司,"贸易/进出口,快速消费品,零售/批发",1000-9999人,,CC488862722J00165134510,招聘食品类专业应往届大学生，定向培养为品控、生产、研发等管理储备岗位，要求：专科以上学历，食品营养学、食品质量学、生物科技、化验类、畜牧兽医等专业等与食品行业相关的专业，性别不限。职位福利：五险一金、餐补、交通补助、包住、包吃、绩效奖金 ,5月24日,山东佳和利食品有限公司成立于2008年12月6日，是集研发、生产、销售、贸易、物流、服务为一体的大型集团公司，总部坐落于有“恐龙故乡”之称的——诸城市。位于206国道和济青高速南线交汇的枢纽地带，交通发达，地理位置优越。公司总占地600多亩，员工近2000人。高级管理人员、高级研发人员、高级质检人员达100多人。公司总共投资7000多万在潍坊、临沂、聊城、日照等地共开设6家分公司，在成都、武汉、重庆、西安、杭州等地开办6个办事处。在全国一、二级城市均设有代理商，销售网络遍及全国各地。2009年创业时销售额2000余万，到2011年底，已达到年生产量8万吨，年销售额近10亿元。公司主要生产速冻调理食品——串类、肠类、丸子类等10大系列，100多个品种，经过佳和利人两年的不断努力，“昊瑞福”品牌已经成为食品企业的风向标，得到各界人士的认可与好评！作为国内速冻调理类食品中最好的生产厂家之一，公司从成立以来，始终坚持以质量求生存，以市场求创新发展的方针，内部加强生产管理体系和产品质量，外化公司形象和信誉，产品严格按照国家食品安全卫生指标进行生产。公司将凭借着先进的生产设备，一流的研发队伍，科学规范的生产管理，以及完善的营销网络全力打造过国内速冻调理食品的第一品牌。公司重视以人为本，以厂为家的管理方向，推崇亲情化、人性化管理模式，让每一个佳和利人都能感受到家的温馨，让每一个佳和利人都能找到合适的发展平台，让企业和个人实现共同发展，让佳和利和每一位员工一同升华！“海纳百川，有容乃大”做优秀的佳和利人，打造优秀的佳和利事业，我们以公司而生存，公司靠我们全力以赴去发展、壮大。,"https://www.zhaopin.com/jobdetail/CC488862722J00165134510.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6133,律师,北京-海淀区,1-1.8万,北京义贤律师事务所,"法律服务,企业服务",20-99人,不需要融资,CC465566510J40397220814,1、诚邀职业律师加入本所；本律所合作条件优越；,10月3日,一、律所介绍北京义贤律师事务所，坐落于中关村核心商务区，是由全国五一劳动奖章获得者、九三学社中央法律专门委员会副主任、北京市海淀区政协常委黄乐平博士发起成立的实行公司化管理的合伙制律师事务所。秉承“义正天下，贤为法治”的执业宗旨，坚持“客户利益至上、服务品质卓著”的服务理念，始终致力于向中外客户提供高水准的法律服务。现已形成以法律风险防控、创业投资、政府法律事务、劳动人事、知识产权、房地产建筑等领域法律服务为主要业务特色，并发展成为一家在业内较具影响力与美誉度的专业型律师事务所。义贤律所核心团队成员均毕业于北京大学、中国人民大学、北京师范大学、中国政法大学等著名法学院校，80％以上拥有法学专业硕士以上学历，部分律师曾在美国、英国、德国等国家著名法学院校深造。有多位名校法学教授、博士生导师在义贤所担任兼职律师，另有多名退休局级领导在义贤执业。义贤律师事务所还建有一支包括中国社会科学院法学所、北京大学法学院、清华大学法学院、中国人民大学法学院、北京师范大学法学院等多位资深教授、研究员担任顾问的高水平的专家团队，为义贤专业品质提供了全面而充分的保障。义贤团队始终保持高标准的专业水准，先后发表专业论文160余篇，出版专著54部。与多个政府部门有密切合作，并始终与法院系统、仲裁系统等保持良好的互动。由于在业内的专业影响力，义贤团队的工作先后受到中央电视台、新华社、人民日报等国内外200余家知名媒体上千次的关注和报道。义贤团队办理的多个案件被最高人民法院公报与人民法院报所关注，成为业内典范。二、法律服务内容（一）创业投资法律服务（二）政府、国企法律服务（三）劳动人事法律服务（四）房地产、工程法律服务（五）知识产权（六）企业法律顾问（七）家事法律服务（八）房产法律服务,"https://www.zhaopin.com/jobdetail/CC465566510J40397220814.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
6134,电话客服,沈阳-铁西区,6000-10000元,沈阳航翊商务信息咨询有限公司,银行,20人以下,,CC830813940J40362990213,工作内容 1.通过电话与客户进行有效沟通，介绍贷款业务，了解客户需求，寻找销售机会，邀约面谈，后期维护。 2.了解客户资质，匹配银行提供合适贷款计划，若符合贷款情况客户邀约至公司洽谈或至银行营业网点办理业务。 3.协助客户提交各项申请材料，做好客情维护，解答客户问题。 4.完成上级领导下达任务，配合领导完成工作。 任职要求 1、18-35岁，口齿清晰，普通话流利，语音富有感染力； 2、对销售工作有较高的热情； 3、具备较强的学习能力和优秀的沟通能力； 4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力； 5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度。 薪资待遇： 底薪+提成，月入8000+-，晋升空间大，月薪上不封顶 工作时间：早上9点-下午6点，周日双休，享受国家法定带薪节假日、带薪年假、公司有每月团建，季度旅游，年终奖，福利待遇好。职位福利：节日福利、周末双休、不加班、全勤奖、定期团建  ,6月19日,航翊金融是隶属于沈阳航翊商务信息咨询有限公司的独立法人事业单位。由原沈阳泓轩商务信息咨询有限公司、沈阳卓杰房地产经纪有限公司升级组建而成。沈阳航翊助贷服务中心位于沈阳市沈河区奉天街346号，屹立于沈阳北站金融中心商圈，注册资金500万元。公司主营业务始于2008年，航翊金融是基于银行和金融机构，搭建服务平台，提供拓客、梳理、分流、代办服务，帮助合作银行、金融渠道拓展市场，精准营销，获取高质量客户，航翊是沈阳老牌银行助贷服务中心，截止2021年已累计助贷金额超过10亿元，在金融同业中享有较高的信誉。,"https://www.zhaopin.com/jobdetail/CC830813940J40362990213.htm?refcode=4019&srccode=401901&preactionid=a7c1140f-c46c-45e5-b867-ab342d8bdc77"
