job_id,basic_requirement,professional_skill,professional_quality,job_name,job_name
1,0,5,0,前端开发,前端开发
2,2,13,5,实施工程师,实施工程师
3,2,1,0,科研人员,科研人员
4,0,0,0,技术支持工程师,技术支持工程师
5,2,3,3,科研人员,科研人员
6,0,5,0,实施工程师,实施工程师
7,2,4,3,科研人员,科研人员
8,0,11,0,Java,Java
9,0,0,0,软件测试,软件测试
10,2,5,0,C/C++,C/C++
11,0,0,0,软件测试,软件测试
12,0,14,0,Java,Java
13,0,4,1,实施工程师,实施工程师
14,0,10,0,实施工程师,实施工程师
15,0,1,0,软件测试,软件测试
16,2,1,0,科研人员,科研人员
17,0,5,0,软件测试,软件测试
18,1,8,0,实施工程师,实施工程师
19,2,1,3,测试工程师,测试工程师
20,2,2,0,Java,Java
21,0,0,0,技术支持工程师,技术支持工程师
22,2,1,0,软件测试,软件测试
23,0,3,0,实施工程师,实施工程师
24,8,1,0,科研人员,科研人员
25,2,6,2,硬件测试,硬件测试
26,0,10,2,C/C++,C/C++
27,0,10,6,Java,Java
28,0,2,5,软件测试,软件测试
29,0,0,0,测试工程师,测试工程师
30,2,2,0,Java,Java
31,2,1,0,测试工程师,测试工程师
32,0,0,0,技术支持工程师,技术支持工程师
33,0,4,0,技术支持工程师,技术支持工程师
34,3,5,6,软件测试,软件测试
35,0,2,0,技术支持工程师,技术支持工程师
36,0,14,0,Java,Java
37,0,1,0,实施工程师,实施工程师
38,0,2,0,软件测试,软件测试
39,0,8,0,C/C++,C/C++
40,0,2,0,技术支持工程师,技术支持工程师
41,0,5,0,硬件测试,硬件测试
42,2,9,9,硬件测试,硬件测试
43,2,1,0,软件测试,软件测试
44,2,4,0,测试工程师,测试工程师
45,0,2,0,技术支持工程师,技术支持工程师
46,0,0,2,实施工程师,实施工程师
47,2,2,2,硬件测试,硬件测试
48,0,0,0,实施工程师,实施工程师
49,0,15,1,Java,Java
50,2,4,0,科研人员,科研人员
51,2,19,8,Java,Java
52,0,8,3,软件测试,软件测试
53,0,0,0,实施工程师,实施工程师
54,0,5,0,Java,Java
55,2,4,6,技术支持工程师,技术支持工程师
56,0,0,0,技术支持工程师,技术支持工程师
57,2,2,2,测试工程师,测试工程师
58,2,2,2,硬件测试,硬件测试
59,0,0,0,软件测试,软件测试
60,2,0,2,技术支持工程师,技术支持工程师
61,0,21,0,Java,Java
62,2,0,0,科研人员,科研人员
63,0,3,6,科研人员,科研人员
64,0,0,0,科研人员,科研人员
65,0,9,0,Java,Java
66,0,21,0,Java,Java
67,2,1,0,测试工程师,测试工程师
68,0,4,0,前端开发,前端开发
69,2,7,6,测试工程师,测试工程师
70,2,5,5,测试工程师,测试工程师
71,0,6,5,技术支持工程师,技术支持工程师
72,0,3,0,测试工程师,测试工程师
73,0,1,0,前端开发,前端开发
74,2,4,2,测试工程师,测试工程师
75,0,7,0,Java,Java
76,0,1,0,Java,Java
77,3,2,1,软件测试,软件测试
78,2,1,8,实施工程师,实施工程师
79,0,5,0,硬件测试,硬件测试
80,4,4,1,技术支持工程师,技术支持工程师
81,2,0,0,软件测试,软件测试
82,0,9,7,Java,Java
83,2,13,0,前端开发,前端开发
84,0,2,0,软件测试,软件测试
85,2,7,1,C/C++,C/C++
86,0,1,0,技术支持工程师,技术支持工程师
87,0,4,2,测试工程师,测试工程师
88,2,4,0,前端开发,前端开发
89,6,8,0,C/C++,C/C++
90,2,2,3,科研人员,科研人员
91,2,0,2,科研人员,科研人员
92,0,14,0,Java,Java
93,0,17,0,Java,Java
94,2,13,10,实施工程师,实施工程师
95,0,11,0,测试工程师,测试工程师
96,2,14,0,前端开发,前端开发
97,0,3,0,实施工程师,实施工程师
98,0,0,0,软件测试,软件测试
99,0,0,0,科研人员,科研人员
100,3,3,3,技术支持工程师,技术支持工程师
101,2,2,1,实施工程师,实施工程师
102,0,3,0,实施工程师,实施工程师
103,4,3,6,技术支持工程师,技术支持工程师
104,0,21,0,软件测试,软件测试
105,0,4,5,实施工程师,实施工程师
106,0,2,0,软件测试,软件测试
107,0,0,0,科研人员,科研人员
108,0,1,0,前端开发,前端开发
109,0,4,0,硬件测试,硬件测试
110,2,2,2,前端开发,前端开发
111,0,1,0,技术支持工程师,技术支持工程师
112,2,1,0,软件测试,软件测试
113,2,13,5,Java,Java
114,2,16,0,Java,Java
115,0,3,0,实施工程师,实施工程师
116,2,1,0,测试工程师,测试工程师
117,0,5,0,硬件测试,硬件测试
118,0,1,0,实施工程师,实施工程师
119,0,14,0,Java,Java
120,2,4,4,Java,Java
121,0,2,0,测试工程师,测试工程师
122,2,2,1,科研人员,科研人员
123,0,1,0,实施工程师,实施工程师
124,0,5,0,硬件测试,硬件测试
125,0,5,0,硬件测试,硬件测试
126,2,12,3,前端开发,前端开发
127,0,3,0,实施工程师,实施工程师
128,2,4,0,C/C++,C/C++
129,2,9,0,Java,Java
130,2,2,7,技术支持工程师,技术支持工程师
131,0,1,0,科研人员,科研人员
132,2,0,0,科研人员,科研人员
133,0,3,0,实施工程师,实施工程师
134,3,3,6,技术支持工程师,技术支持工程师
135,6,3,7,科研人员,科研人员
136,0,2,0,软件测试,软件测试
137,2,1,2,软件测试,软件测试
138,0,1,0,测试工程师,测试工程师
139,0,15,1,Java,Java
140,2,0,0,技术支持工程师,技术支持工程师
141,2,9,3,Java,Java
142,0,0,0,实施工程师,实施工程师
143,2,19,0,Java,Java
144,2,3,7,技术支持工程师,技术支持工程师
145,2,9,2,技术支持工程师,技术支持工程师
146,0,2,0,实施工程师,实施工程师
147,0,3,0,技术支持工程师,技术支持工程师
148,0,0,0,技术支持工程师,技术支持工程师
149,2,1,7,技术支持工程师,技术支持工程师
150,0,3,0,技术支持工程师,技术支持工程师
151,0,4,0,测试工程师,测试工程师
152,2,2,0,硬件测试,硬件测试
153,0,1,0,科研人员,科研人员
154,0,2,0,软件测试,软件测试
155,2,0,0,软件测试,软件测试
156,2,1,2,科研人员,科研人员
157,4,0,0,科研人员,科研人员
158,0,0,0,科研人员,科研人员
159,3,4,1,C/C++,C/C++
160,2,9,0,实施工程师,实施工程师
161,2,23,1,前端开发,前端开发
162,0,0,0,C/C++,C/C++
163,0,2,0,前端开发,前端开发
164,1,4,3,测试工程师,测试工程师
165,0,7,0,测试工程师,测试工程师
166,2,2,7,实施工程师,实施工程师
167,0,0,0,前端开发,前端开发
168,2,1,0,测试工程师,测试工程师
169,0,2,0,科研人员,科研人员
170,0,0,0,技术支持工程师,技术支持工程师
171,1,1,3,技术支持工程师,技术支持工程师
172,0,5,1,Java,Java
173,2,4,3,C/C++,C/C++
174,0,14,0,C/C++,C/C++
175,2,5,2,实施工程师,实施工程师
176,0,0,2,实施工程师,实施工程师
177,2,3,4,测试工程师,测试工程师
178,4,1,2,实施工程师,实施工程师
179,2,3,5,Java,Java
180,0,3,0,技术支持工程师,技术支持工程师
181,0,12,6,Java,Java
182,2,8,5,C/C++,C/C++
183,0,14,6,前端开发,前端开发
184,2,1,0,硬件测试,硬件测试
185,0,11,1,Java,Java
186,2,0,7,科研人员,科研人员
187,2,23,1,Java,Java
188,0,0,0,测试工程师,测试工程师
189,0,10,2,实施工程师,实施工程师
190,0,13,2,Java,Java
191,0,7,4,软件测试,软件测试
192,0,10,0,Java,Java
193,0,4,0,科研人员,科研人员
194,2,13,0,C/C++,C/C++
195,2,4,4,前端开发,前端开发
196,0,7,4,软件测试,软件测试
197,0,5,0,硬件测试,硬件测试
198,0,2,0,软件测试,软件测试
199,2,1,0,测试工程师,测试工程师
200,0,0,0,前端开发,前端开发
201,2,8,5,实施工程师,实施工程师
202,2,0,0,科研人员,科研人员
203,0,21,0,Java,Java
204,0,2,0,科研人员,科研人员
205,0,2,3,实施工程师,实施工程师
206,0,30,0,Java,Java
207,2,4,0,C/C++,C/C++
208,0,0,0,实施工程师,实施工程师
209,3,3,3,实施工程师,实施工程师
210,0,5,0,硬件测试,硬件测试
211,2,4,0,科研人员,科研人员
212,1,5,4,实施工程师,实施工程师
213,2,7,0,硬件测试,硬件测试
214,2,22,2,Java,Java
215,2,2,0,实施工程师,实施工程师
216,0,11,2,Java,Java
217,0,3,0,硬件测试,硬件测试
218,2,6,0,软件测试,软件测试
219,0,6,5,实施工程师,实施工程师
220,0,17,7,Java,Java
221,2,4,6,测试工程师,测试工程师
222,2,7,3,C/C++,C/C++
223,0,2,0,软件测试,软件测试
224,2,1,0,软件测试,软件测试
225,0,2,0,软件测试,软件测试
226,0,5,1,测试工程师,测试工程师
227,0,15,1,Java,Java
228,0,2,0,测试工程师,测试工程师
229,2,3,4,技术支持工程师,技术支持工程师
230,0,0,0,科研人员,科研人员
231,2,5,3,实施工程师,实施工程师
232,0,9,2,软件测试,软件测试
233,2,0,2,科研人员,科研人员
234,2,3,4,测试工程师,测试工程师
235,1,1,2,技术支持工程师,技术支持工程师
236,2,1,0,软件测试,软件测试
237,3,8,7,C/C++,C/C++
238,0,7,0,C/C++,C/C++
239,0,0,0,技术支持工程师,技术支持工程师
240,0,3,3,技术支持工程师,技术支持工程师
241,2,9,1,前端开发,前端开发
242,0,3,0,实施工程师,实施工程师
243,2,10,4,C/C++,C/C++
244,2,8,3,C/C++,C/C++
245,2,5,4,测试工程师,测试工程师
246,2,12,8,Java,Java
247,0,6,5,实施工程师,实施工程师
248,0,8,1,前端开发,前端开发
249,0,0,0,科研人员,科研人员
250,0,1,0,实施工程师,实施工程师
251,0,0,0,技术支持工程师,技术支持工程师
252,0,1,0,实施工程师,实施工程师
253,0,1,6,硬件测试,硬件测试
254,0,0,0,技术支持工程师,技术支持工程师
255,2,3,6,实施工程师,实施工程师
256,0,0,0,科研人员,科研人员
257,2,1,4,技术支持工程师,技术支持工程师
258,3,2,0,技术支持工程师,技术支持工程师
259,6,3,2,科研人员,科研人员
260,6,6,6,科研人员,科研人员
261,2,3,1,硬件测试,硬件测试
262,0,2,0,实施工程师,实施工程师
263,0,14,1,Java,Java
264,0,2,0,软件测试,软件测试
265,0,2,0,软件测试,软件测试
266,2,9,1,测试工程师,测试工程师
267,0,1,0,实施工程师,实施工程师
268,2,7,0,软件测试,软件测试
269,0,4,0,硬件测试,硬件测试
270,4,1,4,科研人员,科研人员
271,0,27,3,Java,Java
272,2,2,3,技术支持工程师,技术支持工程师
273,2,15,4,前端开发,前端开发
274,3,2,0,Java,Java
275,2,9,5,C/C++,C/C++
276,2,1,0,软件测试,软件测试
277,0,0,0,Java,Java
278,0,11,3,Java,Java
279,2,2,4,测试工程师,测试工程师
280,0,3,2,软件测试,软件测试
281,2,2,0,科研人员,科研人员
282,2,2,1,实施工程师,实施工程师
283,0,0,0,Java,Java
284,0,0,0,实施工程师,实施工程师
285,2,2,2,技术支持工程师,技术支持工程师
286,0,13,0,C/C++,C/C++
287,0,14,4,前端开发,前端开发
288,0,5,1,软件测试,软件测试
289,2,4,2,测试工程师,测试工程师
290,0,10,3,技术支持工程师,技术支持工程师
291,0,0,0,科研人员,科研人员
292,0,7,3,实施工程师,实施工程师
293,2,1,0,硬件测试,硬件测试
294,0,2,8,科研人员,科研人员
295,0,2,0,软件测试,软件测试
296,0,0,0,软件测试,软件测试
297,0,0,0,软件测试,软件测试
298,0,10,4,Java,Java
299,2,4,2,测试工程师,测试工程师
300,0,9,2,Java,Java
301,2,1,4,科研人员,科研人员
302,2,1,7,实施工程师,实施工程师
303,0,5,1,测试工程师,测试工程师
